"year","N","Region"
1996,68890.386175,"Norway_slope"
1997,67821.263701,"Norway_slope"
1998,60053.977769,"Norway_slope"
1999,67571.481805,"Norway_slope"
2000,55186.970431,"Norway_slope"
2001,66942.898096,"Norway_slope"
2002,70070.522415,"Norway_slope"
2003,74960.529532,"Norway_slope"
2004,68411.366435,"Norway_slope"
2005,67189.930244,"Norway_slope"
2006,59886.589443,"Norway_slope"
2007,90262.004624,"Norway_slope"
2008,80851.923876,"Norway_slope"
2009,93763.868161,"Norway_slope"
2010,0,"Norway_slope"
2011,67063.775246,"Norway_slope"
2012,0,"Norway_slope"
2013,55901.60546,"Norway_slope"
2014,0,"Norway_slope"
2015,69120.535042,"Norway_slope"
2016,0,"Norway_slope"
2017,49192.735965,"Norway_slope"
2018,0,"Norway_slope"
2019,43055.713915,"Norway_slope"
