"year","N","Region"
1996,0,"WestGreenland"
1997,0,"WestGreenland"
1998,0,"WestGreenland"
1999,164723.382006221,"WestGreenland"
2000,0,"WestGreenland"
2001,212363.134957638,"WestGreenland"
2002,0,"WestGreenland"
2003,0,"WestGreenland"
2004,183397.710179205,"WestGreenland"
2005,0,"WestGreenland"
2006,0,"WestGreenland"
2007,0,"WestGreenland"
2008,194648.022968614,"WestGreenland"
2009,0,"WestGreenland"
2010,167668.56540997,"WestGreenland"
2011,0,"WestGreenland"
2012,183941.490652063,"WestGreenland"
2013,0,"WestGreenland"
2014,151324.108044185,"WestGreenland"
2015,177648.367072089,"WestGreenland"
2016,228323.230386238,"WestGreenland"
2017,149798.032248564,"WestGreenland"
2018,0,"WestGreenland"
2019,145495.38987117,"WestGreenland"
