"year","B"
1996,37111.8561825194
1997,54685.7299913633
1998,54399.2212510949
1999,56548.4137718499
2000,49853.0121461217
2001,65372.7938573615
2002,52490.8928428114
2003,25330.9376167039
2004,16646.0271475674
2005,27555.6459661628
2006,20303.1263245432
2007,26042.567830468
2008,33224.1992356518
2009,53989.9161139276
2010,37520.4848750968
2011,15970.4140464919
2012,52824.8026263173
2013,58428.7591727143
2014,48513.6462419831
2015,50168.3256705272
2016,50955.6598178129
2017,54689.5702235603
2018,34839.4413603763
2019,25719.0408733053
