id.2;kg;Lat.dec;Longitud;Sweptarea;CPUE
2000_6_PA_1;6.7;65.42333333;-56.71500003;0.044487359;150.6045803
2000_6_PA_10;15.6;64.05833333;-57.10333333;0.036957622;422.1050816
2000_6_PA_11;113.1;64.03;-57.33999999;0.073623652;1536.191111
2000_6_PA_12;143.1;63.98499997;-57.65999997;0.077340717;1850.254379
2000_6_PA_13;139.7;63.91833331;-57.31666667;0.065630813;2128.573361
2000_6_PA_14;197.7;63.65666669;-57.57000001;0.070971796;2785.613596
2000_6_PA_15;240.9;63.68833332;-57.22166667;0.072566512;3319.713077
2000_6_PA_16;79.9;63.75499999;-57.31000001;0.074893968;1066.841586
2000_6_PA_17;164.5;63.70999997;-56.86833331;0.069834685;2355.563007
2000_6_PA_18;228.5;63.84500001;-56.87333336;0.070005998;3264.006056
2000_6_PA_19;131.4;63.65499999;-56.53666668;0.072857814;1803.51279
2000_6_PA_2;19.6;65.19666667;-56.43833332;0.059463753;329.6125651
2000_6_PA_20;181.6;63.69000003;-56.46499999;0.069400724;2616.687418
2000_6_PA_21;96.4;63.74500001;-56.00166667;0.067134224;1435.929305
2000_6_PA_22;100.4;63.74666665;-55.86833331;0.084741388;1184.781167
2000_6_PA_23;302.9;63.41833334;-55.35833333;0.043269255;7000.351668
2000_6_PA_24;89.4;63.475;-55.16833334;0.043314359;2063.980692
2000_6_PA_25;32.5;63.49166667;-55.04833333;0.018021105;1803.440985
2000_6_PA_26;130.3;63.32166665;-55.15166667;0.06574764;1981.820172
2000_6_PA_27;117.6;63.27833335;-54.85166664;0.060956545;1929.243206
2000_6_PA_28;126;63.23999999;-53.70499999;0.069037748;1825.088502
2000_6_PA_29;85.3;63.33999999;-53.73166669;0.036424918;2341.803512
2000_6_PA_3;49.2;65.22833333;-55.94666665;0.081417972;604.2891881
2000_6_PA_30;52.6;63.58333333;-54.04333333;0.050523385;1041.102061
2000_6_PA_31;28.7;63.91166668;-54.75666669;0.041137994;697.6519133
2000_6_PA_4;69.7;65.09333333;-55.97333336;0.086002475;810.4417923
2000_6_PA_5;65.3;64.76666667;-55.47833335;0.052520534;1243.32323
2000_6_PA_6;11.4;64.68666668;-55.57999999;0.025369275;449.3624598
2000_6_PA_7;209.5;64.45833333;-55.73833332;0.07412324;2826.374006
2000_6_PA_8;159.9;64.36499999;-55.51333332;0.07452841;2145.490551
2000_6_PA_9;70;64.41666667;-55.99666665;0.078292066;894.0880462
